,Date,Country Name,Indicator Code,continent,pop,CO2 emissions (metric tons per capita),Completeness of birth registration (%),"Fertility rate, total (births per woman)",Forest area (% of land area),GDP per capita (current US$),"Literacy rate, adult female (% of females ages 15 and above)","Maternal mortality ratio (modeled estimate, per 100,000 live births)","Mortality rate, infant (per 1,000 live births)","Population, total",Prevalence of undernourishment (% of population),Total greenhouse gas emissions (kt of CO2 equivalent),"Unemployment, female (% of female labor force) (modeled ILO estimate)"
0,1962,Afghanistan,NY.GDP.PCAP.CD,Asia,10267083,,,,,58.4580086983139,,,,,,,
1,1962,Afghanistan,SP.DYN.IMRT.IN,Asia,10267083,,,,,,,,233.2,,,,
2,1962,Afghanistan,SP.DYN.TFRT.IN,Asia,10267083,,,7.45,,,,,,,,,
3,1962,Afghanistan,SP.POP.TOTL,Asia,10267083,,,,,,,,,9351442.0,,,
4,1962,Albania,SP.DYN.TFRT.IN,Europe,1728137,,,6.282,,,,,,,,,
5,1962,Albania,SP.POP.TOTL,Europe,1728137,,,,,,,,,1711319.0,,,
6,1962,Algeria,NY.GDP.PCAP.CD,Africa,11000948,,,,,172.242508957181,,,,,,,
7,1962,Algeria,SP.DYN.IMRT.IN,Africa,11000948,,,,,,,,146.0,,,,
8,1962,Algeria,SP.DYN.TFRT.IN,Africa,11000948,,,7.614,,,,,,,,,
9,1962,Algeria,SP.POP.TOTL,Africa,11000948,,,,,,,,,11619828.0,,,
10,1962,Angola,SP.DYN.TFRT.IN,Africa,4826015,,,6.872,,,,,,,,,
11,1962,Angola,SP.POP.TOTL,Africa,4826015,,,,,,,,,5608499.0,,,
12,1962,Argentina,NY.GDP.PCAP.CD,Americas,21283783,,,,,1155.89071668715,,,,,,,
13,1962,Argentina,SP.DYN.TFRT.IN,Americas,21283783,,,3.09,,,,,,,,,
14,1962,Argentina,SP.POP.TOTL,Americas,21283783,,,,,,,,,21153042.0,,,
15,1962,Australia,NY.GDP.PCAP.CD,Oceania,10794968,,,,,1854.65683385421,,,,,,,
16,1962,Australia,SP.DYN.IMRT.IN,Oceania,10794968,,,,,,,,19.5,,,,
17,1962,Australia,SP.DYN.TFRT.IN,Oceania,10794968,,,3.442,,,,,,,,,
18,1962,Australia,SP.POP.TOTL,Oceania,10794968,,,,,,,,,10742000.0,,,
19,1962,Austria,NY.GDP.PCAP.CD,Europe,7129864,,,,,1087.8342434189,,,,,,,
20,1962,Austria,SP.DYN.IMRT.IN,Europe,7129864,,,,,,,,32.9,,,,
21,1962,Austria,SP.DYN.TFRT.IN,Europe,7129864,,,2.8,,,,,,,,,
22,1962,Austria,SP.POP.TOTL,Europe,7129864,,,,,,,,,7129864.0,,,
23,1962,Bahrain,SP.DYN.IMRT.IN,Asia,171863,,,,,,,,113.1,,,,
24,1962,Bahrain,SP.DYN.TFRT.IN,Asia,171863,,,7.163,,,,,,,,,
25,1962,Bahrain,SP.POP.TOTL,Asia,171863,,,,,,,,,173140.0,,,
26,1962,Bangladesh,NY.GDP.PCAP.CD,Asia,56839289,,,,,100.122129600152,,,,,,,
27,1962,Bangladesh,SP.DYN.IMRT.IN,Asia,56839289,,,,,,,,167.0,,,,
28,1962,Bangladesh,SP.DYN.TFRT.IN,Asia,56839289,,,6.794,,,,,,,,,
29,1962,Bangladesh,SP.POP.TOTL,Asia,56839289,,,,,,,,,50752150.0,,,
30,1962,Belgium,NY.GDP.PCAP.CD,Europe,9218400,,,,,1438.5232330684,,,,,,,
31,1962,Belgium,SP.DYN.IMRT.IN,Europe,9218400,,,,,,,,27.0,,,,
32,1962,Belgium,SP.DYN.TFRT.IN,Europe,9218400,,,2.59,,,,,,,,,
33,1962,Belgium,SP.POP.TOTL,Europe,9218400,,,,,,,,,9220578.0,,,
34,1962,Benin,NY.GDP.PCAP.CD,Africa,2151895,,,,,94.4644972423036,,,,,,,
35,1962,Benin,SP.DYN.IMRT.IN,Africa,2151895,,,,,,,,178.1,,,,
36,1962,Benin,SP.DYN.TFRT.IN,Africa,2151895,,,6.394,,,,,,,,,
37,1962,Benin,SP.POP.TOTL,Africa,2151895,,,,,,,,,2502897.0,,,
38,1962,Bolivia,NY.GDP.PCAP.CD,Americas,3593918,,,,,116.924968208513,,,,,,,
39,1962,Bolivia,SP.DYN.IMRT.IN,Americas,3593918,,,,,,,,169.0,,,,
40,1962,Bolivia,SP.DYN.TFRT.IN,Americas,3593918,,,6.309,,,,,,,,,
41,1962,Bolivia,SP.POP.TOTL,Americas,3593918,,,,,,,,,3802996.0,,,
42,1962,Bosnia and Herzegovina,SP.DYN.TFRT.IN,Europe,3349000,,,3.676,,,,,,,,,
43,1962,Bosnia and Herzegovina,SP.POP.TOTL,Europe,3349000,,,,,,,,,3353228.0,,,
44,1962,Botswana,NY.GDP.PCAP.CD,Africa,512764,,,,,68.0503489586687,,,,,,,
45,1962,Botswana,SP.DYN.IMRT.IN,Africa,512764,,,,,,,,108.5,,,,
46,1962,Botswana,SP.DYN.TFRT.IN,Africa,512764,,,6.649,,,,,,,,,
47,1962,Botswana,SP.POP.TOTL,Africa,512764,,,,,,,,,523777.0,,,
48,1962,Brazil,NY.GDP.PCAP.CD,Americas,76039390,,,,,251.348317405138,,,,,,,
49,1962,Brazil,SP.DYN.IMRT.IN,Americas,76039390,,,,,,,,121.5,,,,
50,1962,Brazil,SP.DYN.TFRT.IN,Americas,76039390,,,5.981,,,,,,,,,
51,1962,Brazil,SP.POP.TOTL,Americas,76039390,,,,,,,,,76514329.0,,,
52,1962,Bulgaria,SP.DYN.IMRT.IN,Europe,8012946,,,,,,,,36.2,,,,
53,1962,Bulgaria,SP.DYN.TFRT.IN,Europe,8012946,,,2.24,,,,,,,,,
54,1962,Bulgaria,SP.POP.TOTL,Europe,8012946,,,,,,,,,8012946.0,,,
55,1962,Burkina Faso,NY.GDP.PCAP.CD,Africa,4919632,,,,,76.520549314543,,,,,,,
56,1962,Burkina Faso,SP.DYN.IMRT.IN,Africa,4919632,,,,,,,,153.7,,,,
57,1962,Burkina Faso,SP.DYN.TFRT.IN,Africa,4919632,,,6.344,,,,,,,,,
58,1962,Burkina Faso,SP.POP.TOTL,Africa,4919632,,,,,,,,,4960328.0,,,
59,1962,Burundi,NY.GDP.PCAP.CD,Africa,2961915,,,,,73.4353308201368,,,,,,,
60,1962,Burundi,SP.DYN.TFRT.IN,Africa,2961915,,,7.028,,,,,,,,,
61,1962,Burundi,SP.POP.TOTL,Africa,2961915,,,,,,,,,2907320.0,,,
62,1962,Cambodia,NY.GDP.PCAP.CD,Asia,6083619,,,,,109.481170163168,,,,,,,
63,1962,Cambodia,SP.DYN.TFRT.IN,Asia,6083619,,,6.955,,,,,,,,,
64,1962,Cambodia,SP.POP.TOTL,Asia,6083619,,,,,,,,,6028434.0,,,
65,1962,Cameroon,NY.GDP.PCAP.CD,Africa,5793633,,,,,128.594637171558,,,,,,,
66,1962,Cameroon,SP.DYN.IMRT.IN,Africa,5793633,,,,,,,,158.1,,,,
67,1962,Cameroon,SP.DYN.TFRT.IN,Africa,5793633,,,5.766,,,,,,,,,
68,1962,Cameroon,SP.POP.TOTL,Africa,5793633,,,,,,,,,5398730.0,,,
69,1962,Canada,NY.GDP.PCAP.CD,Americas,18985849,,,,,2268.58534607907,,,,,,,
70,1962,Canada,SP.DYN.IMRT.IN,Americas,18985849,,,,,,,,26.0,,,,
71,1962,Canada,SP.DYN.TFRT.IN,Americas,18985849,,,3.681,,,,,,,,,
72,1962,Canada,SP.POP.TOTL,Americas,18985849,,,,,,,,,18614000.0,,,
